date,Region,Latitude,Longitude,year,month,GWL,GWL+1,GWL+2,GWL+3,GWL+4,GWL+5,GWL+6,P,T,ET,NDVI
2002-01-15,NSW,-29.9459361,148.8525404,2002,1,28.21,28.27,,28.53,28.54,,28.57,4.230540242046074,33.92423828125004,3.025555555555556,0.28165
2002-02-15,NSW,-29.9459361,148.8525404,2002,2,28.27,,28.53,28.54,,28.57,29.24,53.87391328811641,31.96738281250004,5.107692307692308,0.3011
2002-03-15,NSW,-29.9459361,148.8525404,2002,3,,28.53,28.54,,28.57,29.24,,31.561510920524523,29.010625000000005,3.7978791092258746,0.31225
2002-04-15,NSW,-29.9459361,148.8525404,2002,4,28.53,28.54,,28.57,29.24,,,16.62126705050465,23.943222656250043,3.5281027104136946,0.29185
2002-05-15,NSW,-29.9459361,148.8525404,2002,5,28.54,,28.57,29.24,,,30.83,0.5147708938457072,17.344863281250014,3.157029177718833,0.2868
2002-06-15,NSW,-29.9459361,148.8525404,2002,6,,28.57,29.24,,,30.83,30.7,18.2236737012863,11.953945312500023,4.171791443850268,0.29145
2002-07-15,NSW,-29.9459361,148.8525404,2002,7,28.57,29.24,,,30.83,30.7,30.915,1.0355385253205185,11.66257812500004,2.6183925811437407,0.27015
2002-08-15,NSW,-29.9459361,148.8525404,2002,8,29.24,,,30.83,30.7,30.915,,16.73919828236098,15.949121093750025,3.1050209205020924,0.2652
2002-09-15,NSW,-29.9459361,148.8525404,2002,9,,,30.83,30.7,30.915,,31.48,17.814942598342896,20.22339843750001,2.580572597137014,0.25075
2002-10-15,NSW,-29.9459361,148.8525404,2002,10,,30.83,30.7,30.915,,31.48,31.25,4.961661703884571,27.88746093750001,1.82257636122178,0.2184
2002-11-15,NSW,-29.9459361,148.8525404,2002,11,30.83,30.7,30.915,,31.48,31.25,30.57,6.085775345563873,32.747363281250045,1.198118811881188,0.20785
2002-12-15,NSW,-29.9459361,148.8525404,2002,12,30.7,30.915,,31.48,31.25,30.57,,32.936592757701874,32.65152343750003,2.0443654822335025,0.2404
2003-01-15,NSW,-29.9459361,148.8525404,2003,1,30.915,,31.48,31.25,30.57,,29.85,4.212123546749313,34.384414062500014,1.65571002979146,0.2351
2003-02-15,NSW,-29.9459361,148.8525404,2003,2,,31.48,31.25,30.57,,29.85,29.67,60.68041920661922,33.01650390625002,4.281489841986456,0.24955
